a300_norm_to_half_mass  e300
4.58786793  0.11637313142202288 
4.30923254  0.11558996896748674
4.02584697  0.11673310991550867
3.70936962  0.10761152232260252
3.42769906  0.10093870226319757
3.1809753   0.092853862673202947
2.95085393  0.086587820082438816
2.73506894  0.085674027422179444
2.52824096  0.08919233805812754
2.32138092  0.089191984457540063
2.11847169  0.083910962914162668
1.92702432  0.076238535088921533
1.75577396  0.074092026943965994
1.60311485  0.079839207485616237
1.46692344  0.093252306869113233
1.34511212  0.11238574134878498
1.23290985  0.13088119530658593  
1.12953662  0.14731464178219245
1.03272804  0.16111023246605172
0.93967667  0.17179071344033148
0.85862694  0.1793217999756056
0.72885107  0.18764262391275499  
0.62302562  0.19336878688570525
0.52794827  0.19709455626159544
0.43676545  0.19943833376803555
0.34257403  0.20224776116811116  
0.2336597   0.20473176968167217
